mode,affinity,rmsd_lb,rmsd_ub,filename
1,-9.3,0.0,0.0,CHEMBL247200.txt
2,-9.3,1.158,1.325,CHEMBL247200.txt
3,-9.2,3.321,5.542999999999999,CHEMBL247200.txt
4,-8.9,1.693,1.9509999999999998,CHEMBL247200.txt
5,-8.9,2.513,3.929,CHEMBL247200.txt
6,-8.7,2.583,3.72,CHEMBL247200.txt
7,-8.6,3.616,7.4670000000000005,CHEMBL247200.txt
8,-8.5,3.2289999999999996,4.808,CHEMBL247200.txt
9,-8.5,3.1660000000000004,4.4030000000000005,CHEMBL247200.txt
1,-9.5,0.0,0.0,CHEMBL245601.txt
2,-9.4,1.209,1.274,CHEMBL245601.txt
3,-9.1,1.88,2.785,CHEMBL245601.txt
4,-8.9,2.501,6.725,CHEMBL245601.txt
5,-8.9,1.476,5.343999999999999,CHEMBL245601.txt
6,-8.8,2.7680000000000002,7.062,CHEMBL245601.txt
7,-8.7,1.6340000000000001,5.239,CHEMBL245601.txt
8,-8.7,1.521,5.3870000000000005,CHEMBL245601.txt
9,-8.1,2.846,7.704,CHEMBL245601.txt
1,-9.0,0.0,0.0,CHEMBL242754.txt
2,-8.9,3.785,7.178,CHEMBL242754.txt
3,-8.9,3.238,6.726,CHEMBL242754.txt
4,-8.9,1.348,1.524,CHEMBL242754.txt
5,-8.8,3.708,7.093999999999999,CHEMBL242754.txt
6,-8.8,3.366,6.886,CHEMBL242754.txt
7,-8.6,3.1,6.513999999999999,CHEMBL242754.txt
8,-8.5,2.366,5.831,CHEMBL242754.txt
9,-8.4,4.052,6.803,CHEMBL242754.txt
1,-8.5,0.0,0.0,CHEMBL248720.txt
2,-8.2,3.609,8.741,CHEMBL248720.txt
3,-8.2,6.194,13.578,CHEMBL248720.txt
4,-7.9,25.105,28.146,CHEMBL248720.txt
5,-7.9,3.023,4.867,CHEMBL248720.txt
6,-7.7,3.737,6.428,CHEMBL248720.txt
7,-7.6,4.8069999999999995,6.593999999999999,CHEMBL248720.txt
8,-7.6,3.4210000000000003,5.656000000000001,CHEMBL248720.txt
9,-7.5,1.93,2.695,CHEMBL248720.txt
1,-9.7,0.0,0.0,CHEMBL249364.txt
2,-9.6,3.53,10.556,CHEMBL249364.txt
3,-9.5,2.1830000000000003,3.347,CHEMBL249364.txt
4,-9.4,2.6519999999999997,3.99,CHEMBL249364.txt
5,-9.1,3.408,4.905,CHEMBL249364.txt
6,-9.0,2.322,3.977,CHEMBL249364.txt
7,-8.9,3.266,4.607,CHEMBL249364.txt
8,-8.8,1.693,2.141,CHEMBL249364.txt
9,-8.7,7.836,13.217,CHEMBL249364.txt
1,-9.2,0.0,0.0,CHEMBL247611.txt
2,-9.0,0.888,1.083,CHEMBL247611.txt
3,-8.6,2.752,4.114,CHEMBL247611.txt
4,-8.4,3.022,4.379,CHEMBL247611.txt
5,-8.2,3.424,4.484,CHEMBL247611.txt
6,-8.2,6.6129999999999995,9.906,CHEMBL247611.txt
7,-8.2,3.0389999999999997,4.29,CHEMBL247611.txt
8,-8.2,2.7230000000000003,3.782,CHEMBL247611.txt
9,-8.1,2.862,3.995,CHEMBL247611.txt
1,-9.0,0.0,0.0,CHEMBL245600.txt
2,-9.0,2.108,3.522,CHEMBL245600.txt
3,-8.9,3.017,7.115,CHEMBL245600.txt
4,-8.8,2.585,6.15,CHEMBL245600.txt
5,-8.8,1.7530000000000001,2.142,CHEMBL245600.txt
6,-8.7,2.164,3.517,CHEMBL245600.txt
7,-8.7,1.8330000000000002,4.156000000000001,CHEMBL245600.txt
8,-8.7,3.0410000000000004,8.863999999999999,CHEMBL245600.txt
9,-8.6,2.85,3.978,CHEMBL245600.txt
1,-10.6,0.0,0.0,CHEMBL242184.txt
2,-10.4,1.101,1.614,CHEMBL242184.txt
3,-10.4,2.702,7.318,CHEMBL242184.txt
4,-10.3,1.01,1.187,CHEMBL242184.txt
5,-9.9,1.8630000000000002,2.955,CHEMBL242184.txt
6,-9.4,4.328,8.577,CHEMBL242184.txt
7,-9.3,3.7689999999999997,7.305,CHEMBL242184.txt
8,-9.2,3.4130000000000003,6.726,CHEMBL242184.txt
9,-9.2,4.3839999999999995,7.331,CHEMBL242184.txt
1,-8.3,0.0,0.0,CHEMBL247201.txt
2,-8.2,3.907,7.393,CHEMBL247201.txt
3,-8.0,3.906,7.818,CHEMBL247201.txt
4,-8.0,4.7780000000000005,8.155,CHEMBL247201.txt
5,-7.9,4.298,7.584,CHEMBL247201.txt
6,-7.9,4.284,6.584,CHEMBL247201.txt
7,-7.9,3.94,7.377000000000001,CHEMBL247201.txt
8,-7.8,4.279,8.46,CHEMBL247201.txt
9,-7.8,4.905,7.922000000000001,CHEMBL247201.txt
1,-8.5,0.0,0.0,CHEMBL249238.txt
2,-8.4,1.901,2.59,CHEMBL249238.txt
3,-8.3,2.154,3.8960000000000004,CHEMBL249238.txt
4,-8.3,2.258,4.019,CHEMBL249238.txt
5,-8.2,3.444,6.2620000000000005,CHEMBL249238.txt
6,-8.2,3.759,6.875,CHEMBL249238.txt
7,-8.2,2.6039999999999996,4.148,CHEMBL249238.txt
8,-8.1,1.548,2.168,CHEMBL249238.txt
9,-8.1,1.804,3.161,CHEMBL249238.txt
1,-9.8,0.0,0.0,CHEMBL248668.txt
2,-9.5,5.063,9.68,CHEMBL248668.txt
3,-8.4,6.688,9.327,CHEMBL248668.txt
4,-8.3,3.056,9.521,CHEMBL248668.txt
5,-8.1,1.909,2.549,CHEMBL248668.txt
6,-8.1,8.216000000000001,12.120999999999999,CHEMBL248668.txt
7,-8.0,7.172999999999999,10.99,CHEMBL248668.txt
8,-8.0,28.956999999999997,31.862,CHEMBL248668.txt
9,-8.0,3.029,4.852,CHEMBL248668.txt
1,-7.5,0.0,0.0,CHEMBL248871.txt
2,-7.3,2.353,3.3930000000000002,CHEMBL248871.txt
3,-7.2,3.233,7.877000000000001,CHEMBL248871.txt
4,-7.2,3.745,8.469,CHEMBL248871.txt
5,-7.0,2.685,4.399,CHEMBL248871.txt
6,-7.0,4.753,8.445,CHEMBL248871.txt
7,-6.9,5.688,9.397,CHEMBL248871.txt
8,-6.8,2.8510000000000004,7.739,CHEMBL248871.txt
9,-6.8,4.363,6.74,CHEMBL248871.txt
1,-9.0,0.0,0.0,CHEMBL243930.txt
2,-8.8,1.4569999999999999,2.9539999999999997,CHEMBL243930.txt
3,-8.4,1.515,1.909,CHEMBL243930.txt
4,-8.3,4.457,8.24,CHEMBL243930.txt
5,-8.3,3.7030000000000003,9.506,CHEMBL243930.txt
6,-8.3,1.9880000000000002,3.418,CHEMBL243930.txt
7,-8.2,1.9980000000000002,3.158,CHEMBL243930.txt
8,-8.0,2.819,8.732000000000001,CHEMBL243930.txt
9,-8.0,2.104,3.6489999999999996,CHEMBL243930.txt
1,-8.4,0.0,0.0,CHEMBL245602.txt
2,-8.4,1.411,2.0069999999999997,CHEMBL245602.txt
3,-8.3,3.5980000000000003,8.448,CHEMBL245602.txt
4,-8.0,2.695,4.172,CHEMBL245602.txt
5,-8.0,4.329,9.086,CHEMBL245602.txt
6,-8.0,3.3,5.0569999999999995,CHEMBL245602.txt
7,-7.8,2.7060000000000004,4.185,CHEMBL245602.txt
8,-7.8,2.09,3.1889999999999996,CHEMBL245602.txt
9,-7.7,3.241,4.774,CHEMBL245602.txt
1,-8.1,0.0,0.0,CHEMBL248911.txt
2,-7.9,0.988,1.327,CHEMBL248911.txt
3,-7.5,3.403,7.938,CHEMBL248911.txt
4,-7.5,3.593,7.955,CHEMBL248911.txt
5,-7.2,3.844,7.434,CHEMBL248911.txt
6,-7.2,3.3080000000000003,5.12,CHEMBL248911.txt
7,-7.1,3.8,7.192,CHEMBL248911.txt
8,-7.0,3.3160000000000003,7.457000000000001,CHEMBL248911.txt
9,-7.0,4.595,8.004,CHEMBL248911.txt
1,-9.1,0.0,0.0,CHEMBL249400.txt
2,-9.0,3.4960000000000004,9.493,CHEMBL249400.txt
3,-9.0,1.117,1.577,CHEMBL249400.txt
4,-9.0,1.383,2.365,CHEMBL249400.txt
5,-8.7,2.487,3.2739999999999996,CHEMBL249400.txt
6,-8.4,1.736,2.302,CHEMBL249400.txt
7,-8.4,1.385,1.93,CHEMBL249400.txt
8,-8.4,2.201,3.3280000000000003,CHEMBL249400.txt
9,-8.3,2.42,3.0380000000000003,CHEMBL249400.txt
1,-9.6,0.0,0.0,CHEMBL249429.txt
2,-9.5,1.645,2.7119999999999997,CHEMBL249429.txt
3,-9.5,3.687,9.464,CHEMBL249429.txt
4,-9.3,2.249,2.5069999999999997,CHEMBL249429.txt
5,-9.2,3.676,10.305,CHEMBL249429.txt
6,-9.1,2.65,3.8089999999999997,CHEMBL249429.txt
7,-9.0,6.108,10.457,CHEMBL249429.txt
8,-8.9,7.1,12.6,CHEMBL249429.txt
9,-8.8,2.315,3.332,CHEMBL249429.txt
1,-9.9,0.0,0.0,CHEMBL249401.txt
2,-9.7,3.466,9.565,CHEMBL249401.txt
3,-9.3,3.4739999999999998,8.661,CHEMBL249401.txt
4,-9.2,3.9789999999999996,10.24,CHEMBL249401.txt
5,-9.2,4.013,6.899,CHEMBL249401.txt
6,-8.9,3.4539999999999997,5.269,CHEMBL249401.txt
7,-8.9,4.234,6.946000000000001,CHEMBL249401.txt
8,-8.8,5.577000000000001,11.335,CHEMBL249401.txt
9,-8.8,4.119,10.055,CHEMBL249401.txt
1,-8.4,0.0,0.0,CHEMBL248910.txt
2,-8.0,3.2030000000000003,6.348,CHEMBL248910.txt
3,-7.7,3.307,7.442,CHEMBL248910.txt
4,-7.7,2.844,5.68,CHEMBL248910.txt
5,-7.5,3.1710000000000003,4.66,CHEMBL248910.txt
